Date,LakeLevel,Temperature,Windspeed,Humidity,Precipitation,Groundwater
1997-01-01,20.25,-13.79,7.09,72.04,0.0,
1997-01-02,20.25,-14.17,5.09,79.0,0.0,
1997-01-03,20.25,-7.52,19.79,78.0,0.01,
1997-01-04,20.25,-7.35,18.63,73.42,0.0,
1997-01-05,20.25,-8.92,8.45,80.67,0.0,
1997-01-06,20.25,-5.09,4.92,87.42,0.0,
1997-01-07,20.25,-5.19,4.25,88.29,0.0,
1997-01-08,20.25,-5.98,5.52,79.71,0.0,
1997-01-09,20.25,-4.5,9.59,83.83,0.0,
1997-01-10,20.25,-5.0,10.69,80.88,0.0,
1997-01-11,20.25,-6.03,7.7,81.92,0.0,
1997-01-12,20.25,-5.38,8.84,82.92,0.0,
1997-01-13,20.25,0.4,13.86,86.38,0.0,
1997-01-14,20.25,0.77,11.47,90.92,0.0,
1997-01-15,20.25,-0.55,10.62,86.75,0.0,
1997-01-16,20.25,-2.17,7.52,86.0,0.0,
1997-01-17,20.25,-2.56,8.39,81.79,0.0,
1997-01-18,20.25,0.38,12.8,85.62,0.0,
1997-01-19,20.25,1.36,8.22,97.54,0.0,
1997-01-20,20.25,0.55,6.65,97.17,0.19,
1997-01-21,20.25,0.35,4.75,94.83,0.0,
1997-01-22,20.25,0.51,13.63,85.88,0.0,
1997-01-23,20.25,3.89,12.86,91.58,0.03,
1997-01-24,20.25,2.61,8.84,94.54,0.0,
1997-01-25,20.25,-0.01,14.49,78.79,0.0,
1997-01-26,20.25,-1.64,17.44,73.21,0.0,
1997-01-27,20.25,-2.57,9.83,70.54,0.0,
1997-01-28,20.25,-0.03,16.4,92.46,0.0,
1997-01-29,20.25,1.32,12.74,96.21,0.0,
1997-01-30,20.25,2.55,15.77,96.88,0.01,
1997-01-31,20.25,1.62,18.41,83.5,0.02,
1997-02-01,20.25,-2.14,11.14,71.21,0.0,
1997-02-02,20.25,-2.26,7.5,72.88,0.0,
1997-02-03,20.25,-1.65,9.44,82.75,0.0,
1997-02-04,20.25,1.31,17.39,84.38,0.02,
1997-02-05,20.25,2.32,17.12,88.62,0.09,
1997-02-06,20.25,1.25,16.33,90.33,0.0,
1997-02-07,20.25,3.45,17.84,72.33,0.0,
1997-02-08,20.25,4.19,16.77,74.21,0.0,
1997-02-09,20.25,3.27,14.04,85.42,0.0,
1997-02-10,20.26,7.42,18.92,78.75,0.0,
